Headline,Date & Time
"Bank Holiday today: Major cities where banks will remain shut today include Aizawl, Belapur, Bhopal, Bhubaneswar, Chandigarh, Dehradun, Hyderabad, etc.","November 15, 2024 08:44 IST"
"The banking system’s liquidity surplus has exceeded the Rs 2 lakh crore mark, which has prompted the RBI to conduct…","November 15, 2024 03:45 IST"
"Municipal bonds worth Rs 4,204 crore were outstanding as on March 31, 2024 (0.01% of GDP) as compared to Rs…","November 14, 2024 02:30 IST"
"HDFC Bank, the largest private sector lender, continues to be bracketed in bucket 2, under which it will have to…","November 13, 2024 19:49 IST"
"The industry focuses on products that offer guaranteed returns to higher-income segments, which is a very competitive space.","November 13, 2024 03:00 IST"
"NFRA has also asked the government to notify the revised standard of audit 600 (or SA 600), a standard that…","November 13, 2024 01:00 IST"
"Since inception, the IBC has led to a direct recovery of about Rs 3.55 lakh crore due to resolution and…","November 13, 2024 00:05 IST"
"The Ministry of Finance highlighted these figures in a statement on Tuesday, showcasing growth in various financial metrics.","November 12, 2024 19:55 IST"
"Total income increased to Rs 19,872 crore, compared with Rs 16,659 crore in the year-ago period. Net interest income increased…","November 12, 2024 02:30 IST"
More changes to the Prevention of Corruption Act in the offing,"November 11, 2024 05:45 IST"
"Life Insurance Corporation of India (LIC), the country’s largest life insurer, saw a 9% YoY rise in new business premiums…","November 10, 2024 00:30 IST"
"In a previous August meeting in Delhi, Sitharaman urged RRBs and their sponsor banks to emphasise accurate beneficiary identification when…","November 9, 2024 17:49 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,3 weeks ago
No headline,3 weeks ago
No headline,1 month ago
"SBI’s infrastructure loans jumped 8.86% in the July-September quarter, and it currently has over Rs 4 lakh crore of outstanding…","November 9, 2024 05:30 IST"
"Individual new business Annualized Premium Equivalent (APE), a key metric for assessing new policy growth, rose by 57% to Rs…","November 9, 2024 01:00 IST"
The RBI has declared November 7 and 8 as official holidays in select states in observance of Chhath Puja.,"November 8, 2024 13:09 IST"
"As per ICAI’s website, the SQM 1 and SQM 2 will be implemented on a recommendatory basis from April next…","November 8, 2024 01:00 IST"
The slowdown in unsecured loans stems from banks’ cautious stance due to rising bad debts and an RBI directive to…,"November 7, 2024 03:00 IST"
"The additional funds, along with retained earnings and other statutory components, increases the regulatory capital of Deutsche Bank AG India…","November 6, 2024 12:26 IST"
"As per the guiding principles suggested, the RRB with largest business among the amalgamating RRBs in the state would be…","November 6, 2024 02:00 IST"
"Foreign portfolio investors sold shares worth Rs 2,569.4 crore on Tuesday while domestic institutional investors bought Rs 3,031 crore of…","November 6, 2024 01:45 IST"
"Total assets under management grew 17.4% to Rs 45,716 crore, with gold loans accounting for 53% of total assets, followed…","November 6, 2024 00:05 IST"
"Vehicle sales across categories, including commercial, passenger and construction equipment, experienced a muted or negative growth in Q2FY25.","November 5, 2024 06:00 IST"
The candidate applying for the post of deputy governor of the RBI should not be 60 years of age as…,"November 5, 2024 03:00 IST"
"A committee had recommended the CLRP to be completed in a total of 165 days, which is much shorter than…","November 5, 2024 02:00 IST"
"On a consolidated basis, Sundaram Finance net profit grew 24% to Rs 406 crore during Q2FY25 while revenue from operations…","November 5, 2024 01:15 IST"
This is in line with the Reserve Bank of India’s (RBI) directions that banks and NBFCs involved in microfinance lending…,"November 4, 2024 01:45 IST"
"Below is a comprehensive overview of the bank holidays for November 2024, detailing the dates and the states where they…","Updated: November 2, 2024 09:47 IST"
"While compliance with the RBI’s 2024 Fraud Risk Management Master Directions will undoubtedly increase the operational burden on banks, the…","November 1, 2024 17:23 IST"
"Banks will be closed on November 1 for Deepavali and Kannada Rajyotsava, with further closures on November 2 and 3…","November 1, 2024 09:21 IST"
"For loans above Rs 2 crore, we have centralised the process and created MSME hubs in 163 centres, instead of…","October 31, 2024 00:05 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,1 month ago
No headline,1 month ago
No headline,1 month ago
Any industry that does not use data intelligently in the world of artificial intelligence and machine learning sets itself up…,"October 30, 2024 18:46 IST"
"According to bankers, individuals who have taken more than two personal loans have been hit hardly and are unable to…","October 30, 2024 03:15 IST"
"The increase in PSL can be attributed to Indian Bank’s ongoing emphasis on the retail, agriculture and MSME (RAM) segment…","October 29, 2024 20:30 IST"
"The FinTech industry aims to disrupt financial services with innovative solutions, but regulatory actions by the Reserve Bank of India…","October 29, 2024 15:37 IST"
"Canara Bank posted total income during the quarter in review at Rs 38,006.05 crore, up 12.1 per cent from Rs…","October 29, 2024 13:51 IST"
Jio Financial Services said that the two companies incorporated are Jio BlackRock Asset Management Private Limited and Jio BlackRock Trustee…,"October 29, 2024 12:16 IST"
"As of date, around 48% of the book is linked to either the repo or the T-bill. Around 4 lakh…","October 29, 2024 02:45 IST"
"Global deposits registered a growth of 11.33% on a Y-o-Y basis to Rs 14,58,342 crore. Global yield on advances was…","October 29, 2024 00:45 IST"
"The retail, agriculture and MSME (RAM) segment accounted for 63% of the bank’s Rs 5.13 lakh-crore domestic advances while the…","October 28, 2024 20:20 IST"
"Even as it plays for scale, PhonePe is clear it will not build a balance sheet. it feels its strength…","October 28, 2024 03:45 IST"
"‘We are trying to raise deposits on the pillar of services, and not on rates. Five months back, we reduced…","October 28, 2024 03:30 IST"
"The average daily transaction count crossed 500 million in September, up from 483 million in August, according to the National…","October 28, 2024 02:15 IST"
"The employment verification discrepancies are the most prevalent, accounting for 14.6 per cent of inconsistencies, followed by education verification discrepancies.","October 27, 2024 10:03 IST"
"Advances increased by 22% year-on-year to Rs 2.22 lakh crore, driven by growth in retail loans, which grew 25%, and…","October 27, 2024 05:00 IST"
"In future, the insurance industry will see plenty of innovation and hyper-personalised products based on data.","October 26, 2024 23:20 IST"
The net interest margin shrunk to 4.27% in the first quarter from 4.53% in the same quarter of the previous…,"October 26, 2024 22:48 IST"
"On a standalone basis, Yes Bank posted Q2 profit at Rs 553.04, up 145.6 per cent from Rs 225.21 crore…","October 26, 2024 14:33 IST"
"Its borrowing sources include loans from banks, the bonds it issues, and fixed deposits.","October 26, 2024 10:08 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,2 months ago
No headline,2 months ago
No headline,2 months ago
"Bank of Baroda’s MD & CEO Debadatta Chand discussed liquidity, RAM segment growth, and GNPA targets amid stable deposit rates.","October 26, 2024 09:53 IST"
Domestic gross advances grew 13% annually and 6.5% sequentially to Rs 9.38 lakh crore.,"October 26, 2024 04:00 IST"
"The bank accepted bids for Rs. 5,000 Crores at a coupon of 7.12% p.a.","October 26, 2024 02:45 IST"
"‘This is a temporary slowdown in disbursements and for the next couple of quarters, it will continue to be slow…","October 26, 2024 02:00 IST"
"Total expenses of the lender also went up by 40% to Rs 4,994.17 crore in the latest quarter. Of this,…","October 25, 2024 22:04 IST"
"YES Bank Q2FY25 Earnings Results: Yes Bank is gearing up to release its Q2 earnings results on October 26, 2024.","October 25, 2024 14:56 IST"
"ICICI Bank Q2FY25 Date, Time: As one of India’s leading private sector banks, ICICI Bank’s quarterly earnings report is crucial…","October 25, 2024 12:54 IST"
"“The company’s expenses related to the insurance business are above the limits set by IRDAI (Expenses of Management, including Commission…","October 25, 2024 08:37 IST"
"Banks may not reduce deposit rates immediately following a repo rate cut, as they will aim to bolster retail and…","October 25, 2024 02:45 IST"
"PoSPs are usually small agents who are typically associated with only one insurance company. By aligning with PB Partners, we…","October 25, 2024 02:30 IST"
"Being a lender to medium, small, and micro enterprises (MSME), the company only partners with companies which are in the…","October 25, 2024 01:15 IST"
"The bank’s provisions and contingencies for the quarter rose 73% quarter-on-quarter to Rs 1,820 crore and 87% year-on-year.","October 25, 2024 00:30 IST"
The insurance industry is using dynamic pricing to adjust premiums based on individual risk profiles. But the small and medium…,"October 24, 2024 11:23 IST"
How are CFOs managing economic challenges in the insurance industry. A deep dive into the key risks and how industry…,"October 24, 2024 11:11 IST"
"In bond market parlance, AFS is referred to as a trading book, which means banks can take out their investments…","October 24, 2024 02:40 IST"
"Avinash Naik, president & chief information officer at Bajaj Allianz General Insurance, said that the insurance industry has accumulated vast…","October 23, 2024 22:59 IST"
"The Irdai chairman highlighted that the insurance sector manages assets worth Rs 70 lakh crore, and the investment framework has…","Updated: October 24, 2024 08:27 IST"
"Bajaj Finserv posted a total income of Rs 33,703.74 crore during the quarter in review, up 29.5 per cent as…","October 23, 2024 14:19 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,2 months ago
No headline,2 months ago
No headline,3 months ago
"Pranav Chawda joined J P Morgan in 2019, and has been heading the commercial banking vertical.","October 23, 2024 12:49 IST"
"Bajaj Finserv and Allianz have at several times in the last 10 years held discussions regarding the stake purchases, but…","October 23, 2024 06:00 IST"
The day-long summit will see a unique confluence of some of the finest minds in the insurance industry who will…,"October 23, 2024 05:30 IST"
"The bank’s shift toward high-net-worth and affluent individuals came after it sold its entire personal loan portfolio, valued at Rs…","Updated: October 24, 2024 12:42 IST"
BFL’s assets under management grew 29% YoY to Rs 3.73 lakh crore. New loans booked were up 14% to 9.69…,"October 23, 2024 01:45 IST"
"The bank saw a 12.3% growth in RAM (retail, agriculture, MSME) lending, while corporate lending grew at a moderate 6.3%.","October 23, 2024 01:30 IST"
Experts see this deal as part of a broader trend of foreign banks exiting retail banking in India over the…,"October 22, 2024 05:30 IST"
"In the event of a bank winning the bid to acquire IDBI Bank, the promoters would be given reasonable time…","October 22, 2024 02:45 IST"
The company noted that around 10% of its revenue comes from subsidies the government grants to banks and fintechs in…,"October 22, 2024 01:00 IST"
"The increase of CGM posts will enhance the capability of banks to better monitor critical positions such as digitalisation, cyber…","October 22, 2024 00:45 IST"
"The lender improved its asset quality, with the gross non-performing assets (GNPA) ratio declining to 4.36% as of September 30,…","October 21, 2024 22:34 IST"
"Assets under management (AUM) grew 26% to Rs 1.02 lakh crore as of September 30, from Rs 81,215 crore in…","October 21, 2024 21:49 IST"
“Our strategy focuses on offering highly personalised and affordable insurance products that are simple to understand and tailored to users’…,"October 21, 2024 10:31 IST"
The bank’s management has previously stated its intention to grow advances at a slower pace than deposits it aims to…,"October 21, 2024 02:30 IST"
"HDB Financial Services is coming with an IPO to comply with the Reserve Bank of India’s mandate in October 2022,…","October 20, 2024 06:00 IST"
"The bank’s total business stood at Rs 25,650 crore as of September 2024 quarter. Of this, total deposits were at…","October 20, 2024 01:00 IST"
"As of June 2024, Kotak Mahindra Bank’s personal loans, consumer durable loans, and business loans totalled Rs 20,317 crore, while…","October 19, 2024 03:45 IST"
"Anticipating the impact, IOB bank has already started working on the additional run-off factor as proposed in the guidelines. Salary…","October 19, 2024 01:45 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,3 months ago
No headline,3 months ago
No headline,3 months ago
M2P Fintech had raised just over $100 million in late September through primary and secondary financing in a Series D…,"October 19, 2024 01:15 IST"
"Experts also believe that specialised infrastructure finance institutions, which are backed by the government, are more suited to finance long-term…","October 18, 2024 00:05 IST"
"The net interest margin stood at 3.99% in the second quarter, down from 4.05% in the first quarter of the…","October 17, 2024 21:50 IST"
"In terms of asset quality, the return on assets (RoA) improved to 0.85% for the quarter ended September, registering an…","October 17, 2024 21:34 IST"
"CASA and retail term deposits account for 94% of IOB’s total deposits, while the remaining 5-6% comes from bulk deposits.","October 17, 2024 20:27 IST"
"Besides Navi Finserv, others who have been barred by the RBI include Asirvad Micro Finance, Arohan Financial Services and DMI…","Updated: October 17, 2024 18:13 IST"
Fintechs are applying GenAI to boost customer service.,"October 17, 2024 17:25 IST"
"Cobalt platform boosts cloud journeys, tailors solutions to specific needs","October 17, 2024 16:38 IST"
"NFRA board, including members like SEBI, CAG and RBI, is of the opinion that SQMs have to be notified as…","October 17, 2024 05:15 IST"
"Once the SRO has a critical mass in different fintech categories, it will have dedicated working groups and forums of…","October 17, 2024 05:00 IST"
"Although net interest margins (NIMs) are expected to improve by 12 bps QoQ, funding cost pressures are likely to affect…","October 17, 2024 03:30 IST"
"Over the last decade, NBFCs have shown resilience amidst systemic shocks like Covid-19 and the IL&FS crisis thanks to crucial…","October 17, 2024 02:45 IST"
"Before joining Yes Bank, Nirav Dalal served as an Advisor for Treasury Consulting at Ernst & Young (EY), where he…","October 16, 2024 16:59 IST"
"South Indian Bank Ltd announced that its NII during the quarter stood at Rs 882.7 crore, up 6.3 per cent…","October 16, 2024 13:48 IST"
“The proposed combination envisages acquisition by Central Bank of India of 24.91 per cent equity stake in Future Generali India…,"October 16, 2024 10:29 IST"
"Provisions for NPAs stood at Rs 598 crore for the quarter ended September, a tad higher than Rs 586.4 crore…","October 16, 2024 02:45 IST"
"Since a significant portion of deposits in deposit-taking NBFCs consists of shorter tenures, they generally prefer to purchase government bonds…","October 16, 2024 02:15 IST"
"The domestic clearing houses that had been identified for de-recognition by ESMA include Clearing Corporation of India, Indian Clearing Corp,…","October 15, 2024 23:40 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,3 months ago
No headline,3 months ago
No headline,3 months ago
"The HDFC Q2 earnings report is essential for stakeholders, as it highlights the bank’s revenue, net profit, asset quality, and…","Updated: October 14, 2024 18:32 IST"
Bank Holidays 2024: Are Banks Closed form 14 to 17 October? If you plan to visit your bank during the…,"Updated: October 14, 2024 16:56 IST"
"The Big Four — Deloitte, EY, PwC and KPMG—have robust AI initiatives to improve their services and offer advanced solutions…","October 14, 2024 13:44 IST"
"Lenders are expected to witness 5-10-basis-point (bps) compression in NIMs due to rise in cost of funds, say experts.","October 14, 2024 13:28 IST"
"In his keynote address at the conference on “Central Banking at Crossroads”, Das said that while most of the innovations…","Updated: October 14, 2024 12:25 IST"
"NIM for SFBs is expected to contract by around 15 bps as they continue diversifying to secured asset classes, which…","October 14, 2024 10:46 IST"
"In the private sector, SBI Life Insurance led with ₹2,991.77 crore in new business premiums in September, followed by HDFC…","October 12, 2024 05:30 IST"
Good Glam Group has acquired Sirona Hygiene for Rs 450 crores (approximately $60 million) in an all cash deal. It…,"October 11, 2024 13:43 IST"
"The company revenue from operations for the quarter under review also increased by 38.5% to Rs 1,630.38 crore from Rs.…","October 11, 2024 03:45 IST"
"The average ticket size of UPI transactions in the first half of 2023 was Rs 1,603, which fell to to…","October 11, 2024 03:15 IST"
The proposal for appointment of Sengupta will be placed before the nomination and remuneration committee and the board for consideration…,"October 11, 2024 02:15 IST"
Bandhan Bank announced the appointment of Partha Pratim Sengupta as Managing Director & Chief Executive Officer of the Bank. The…,"October 10, 2024 20:16 IST"
The FM articulated the transformational journey of the Indian banks from a once-troubled state to spectacular symbols of smart systemic…,"October 10, 2024 18:14 IST"
"In terms of card types, GlobalData said that credit and charge cards are most preferred, accounting for 75.7 per cent…","October 10, 2024 15:39 IST"
"On the occasion of Maha Saptami on October 10, several public and private banks will remain closed. The Reserve Bank…","October 10, 2024 13:07 IST"
"Zarin, who has had a banking career spanning more than 35 years, joined the Bank in 2016 as CEO of…","October 10, 2024 03:45 IST"
Industry experts view this as a positive step to for the underserved categories such as senior citizens and users from…,"October 10, 2024 02:45 IST"
"Standard Chartered (the group) announces the retirement of Zarin Daruwala, CEO at Standard Chartered, India and South Asia from 1…","October 9, 2024 14:24 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,3 months ago
No headline,3 months ago
No headline,3 months ago
"On the stagnant share of manufacturing at 15-16% of the GDP over the last decade and more, Sitharaman said production-linked…","October 9, 2024 06:00 IST"
"This development deepens their existing partnership, allowing Old National Bank to utilise Infosys’ services, solutions, and platforms for operational transformation…","October 9, 2024 01:45 IST"
"The combined gross direct premiums of private general insurers stayed flat at ₹14,859.73 crore during the month under review.","October 9, 2024 00:05 IST"
"The sharp increase in the quarterly volumes, ICRA said, has been fuelled by large private banks selling down their portfolio…","October 8, 2024 11:11 IST"
"The appeal of Pay Later services lies in their ability to eliminate the need for credit cards, provide instant approval,…","October 8, 2024 11:10 IST"
The consolidation of 27 public sector banks into 12 banks was a major step towards making the operations of these…,"Updated: October 28, 2024 11:45 IST"
"Owing to the decline, NBFCs have been exploring alternative routes such as non-convertible debentures, commercial papers, foreign currency borrowing and…","October 8, 2024 03:00 IST"
HDFC Bank board has approved the sale of its entire stake in HDFC Education and Development Services to Vama Sundari…,"October 7, 2024 20:16 IST"
The strategic co-sourcing agreement is aimed at enhancing financing accessibility for commercial vehicle owners and fleet operators across the country.,"October 7, 2024 17:25 IST"
"Indian women adopting self-employment as a way forward for growth in their respective careers has become a norm nowadays, along…","October 7, 2024 12:26 IST"
MPC expected to keep the repo rate unchanged.,"October 7, 2024 03:30 IST"
LIC informed the exchanges that the holding in the company has touched 5 per cent upon allotment of 3.376 per…,"October 6, 2024 10:45 IST"
RBI Deputy Governor M Rajeshwar Rao was appointed as RBI Deputy Governor in October 2020 for a period of three…,"October 5, 2024 14:30 IST"
A total of 158 MTNL properties across prime locations in Mumbai and Delhi have been identified for outright sale by…,"October 5, 2024 05:30 IST"
"The central bank has raised concern over valuation of gold without the presence of customers, especially in loans granted through…","October 4, 2024 20:25 IST"
"Cloud services are primarily being employed in areas like loan origination, underwriting, and managing card payment systems, according to the…","October 4, 2024 05:45 IST"
"As of June end, the company’s retail AUM stood at Rs 50,530 crore, with housing loans accounting for around 45%…","October 4, 2024 03:15 IST"
PNB reported an 11.4% increase in total deposits to Rs 14.59 lakh crore against Rs 13.09 lakh crore at the…,"October 4, 2024 02:15 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,4 months ago
No headline,4 months ago
No headline,4 months ago
PNB reported an 11.4% increase in total deposits to Rs 14.59 lakh crore against Rs 13.09 lakh crore at the…,"October 4, 2024 02:15 IST"
"Recently, the RBI announced the bank holidays for October 2024, which will include a total of 15 non-working days.","October 3, 2024 08:44 IST"
"The ICAI had earlier floated a paper on SQMs, the modern version of the extant Standard on Quality Control (SQCs),…","October 3, 2024 06:00 IST"
"During his chairmanship, SBI fared exceedingly well, notching up a growth in net profit of anywhere between 22% and 59%.","Updated: October 28, 2024 11:43 IST"
The law requires NFRA to supervise and regulate listed companies and other PIEs whereas the ICAI will have supervision over…,"October 3, 2024 03:00 IST"
"Liquidity in the banking system slipped into a deficit in the second half of September after nearly three months, driven…","October 3, 2024 02:30 IST"
India Ratings and Research said the corporate credit profile continued its robust performance with 202 issuers getting rating upgrades in…,"October 2, 2024 01:00 IST"
"Cred founder Kunal Shah attributed the improved performance to the growth in monetised members, a drop in user acquisition costs,…","October 1, 2024 07:33 IST"
"The gold loan portfolio should be closely monitored, especially in the light of significant growth in the portfolio in certain…","October 1, 2024 07:26 IST"
"Globally, Shopify in Canada has successfully executed a similar pivot, but its transition was fueled by substantial funding and strategic…","October 1, 2024 02:00 IST"
"After IL&FS defaulted on its loans in 2018, the government and the National Company Law Tribunal had appointed a public…","September 30, 2024 22:55 IST"
"According to a statement released by the RBI on Monday, the central bank has stressed the need to take immediate…","Updated: October 1, 2024 01:47 IST"
"Despite the pandemic having disrupted business for a couple of years, the operations of IDFC First Bank are now on…","Updated: October 28, 2024 11:44 IST"
"Diversification is also crucial to optimise borrowing cost, given bank funding has become dearer by 20-50 bps over the past…","September 30, 2024 13:35 IST"
"Bank Holidays in October 2024: October includes festivals like Durga Puja, Dussehra, Diwali and also Mahatma Gandhi Jayanti. During this…","September 30, 2024 12:55 IST"
Bankers say higher prices encourage people to opt for gold loans as the loan amount gets bigger.,"September 30, 2024 00:30 IST"
"During the AGM, Tamilnad Mercantile Bank highlighted its continued focus on growth and transformation, laying out a comprehensive plan for…","September 28, 2024 13:05 IST"
"The UPI has emerged as a transformative force in India’s financial landscape, registering nearly 15 billion transactions in August with…","September 28, 2024 05:00 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,5 months ago
No headline,5 months ago
No headline,5 months ago
"The merger is effective from October 1, 2024, it added.","September 27, 2024 23:42 IST"
"Last month, IndusInd Bank launched ‘Pioneer Private Program’, which is an exclusive program of bespoke financial solutions, tailored to the…","September 27, 2024 18:44 IST"
"LIC sold the shares through open market transactions, in the ordinary course of its investment function. The shares were offloaded…","September 27, 2024 17:11 IST"
"According to the report, in comparison to private banks, government banks have more stable deposits and larger room to fund…","Updated: September 27, 2024 14:41 IST"
This historic deal marks the culmination of over a year of joint efforts between India and Trinidad & Tobago. The…,"Updated: September 27, 2024 12:49 IST"
"The Insolvency and Bankruptcy Board of India (IBBI) has amended the Insolvency Resolution Process for Corporate Persons Regulations, 2016 (CIRP…","September 27, 2024 01:00 IST"
"The report, which tracks digital loans for the June quarter, highlights disbursement trends from 33 FACE members.","September 26, 2024 05:00 IST"
"As a multilateral development bank, Beijing-based AIIB is focused on developing sustainable infrastructure in Asia and promoting investments in infrastructure…","September 26, 2024 04:45 IST"
"Today, CFOs use cutting-edge technologies to improve cost efficiency and operational performance.","Updated: September 26, 2024 16:14 IST"
Various market reports predict the global financial analytics market will grow by a compound annual growth rate of around 12…,"Updated: September 26, 2024 16:10 IST"
"IDFC Ltd received an approval from NCLT, Chennai for the merger of IDFC Financial Holding Company with IDFC and their…","September 25, 2024 16:37 IST"
The organised gold loans expanded at a compound annual growth rate (CAGR) of 25 per cent over the period FY2020-FY2024…,"September 25, 2024 11:15 IST"
"To address regional disparities in the flow of priority sector credit at the district level, RBI has taken the initiative…","September 25, 2024 03:00 IST"
"IIFL’s gold loan AUM stood at approximately Rs 260 billion as of March 4, 2024, when the ban came into…","September 24, 2024 11:51 IST"
"Under the new LCR norms, banks will be required to assign an additional 5% run-off factor for retail deposits enabled…","September 24, 2024 05:30 IST"
Default rates in investment grade securities are below 0.5% that tells that if resources are raised for infra and deployed…,"September 24, 2024 03:00 IST"
"Industry players said there is also a lack of coordination and standardisation among states in terms of land laws, policies…","September 24, 2024 02:15 IST"
"In FY23, Open had managed to increase revenue by 24% while narrowing losses to Rs 242.2 crore from Rs 249.3…","September 24, 2024 01:45 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,5 months ago
No headline,5 months ago
No headline,5 months ago
Federal Bank said that KVS Manian has taken charge as new Managing Director & CEO of the bank. The appointment…,"September 23, 2024 13:29 IST"
"Europe gains ground, America stagnant","September 23, 2024 05:45 IST"
"In FY24, our AUM grew by almost 70% and the industry AUM grew by 34%. In the current year also,…","September 23, 2024 03:30 IST"
"In contrast, only about 22% of users expressed a willingness to pay transaction fees on UPI transactions, according to a…","September 23, 2024 02:45 IST"
Currency hedging cost is the spot and forward rate differential as percentage of the spot rate.,"September 21, 2024 02:50 IST"
The weighted average domestic term deposit rates (WADTDRs) on fresh and outstanding rupee term deposits increased by 245 bps and…,"September 21, 2024 00:15 IST"
"With liquidity swinging from surplus to deficit, the central bank has also stepped up its efforts to infuse short-term funds…","September 20, 2024 03:30 IST"
"The restrictions imposed by the central bank had prohibited the company from sanctioning, disbursing, or selling any of its gold…","September 20, 2024 01:30 IST"
"The Finance Ministry said that India’s performance on the FATF Mutual Evaluation accrues significant advantages to our growing economy, as…","September 19, 2024 21:23 IST"
Setty said low-cost current account savings account (CASA) of banks may fall further due to efficient cash management by the…,"September 19, 2024 05:15 IST"
"The company currently has about Rs 5,000-crore exposure to the housing business and Rs 8,000 crore to the MSME sector.","September 19, 2024 00:30 IST"
"The amalgamation is expected to allow better access to capital, operational synergy and enhanced value creation for shareholders.","September 18, 2024 19:22 IST"
"The SA 600, as it exists today, does not permit review of work papers of component auditors by the principal…","September 18, 2024 06:15 IST"
"In total, Unified Payments Interface (UPI) transactions in August rose 3.6% month-on-month to 14.96 billion and amounted to Rs 20.61…","September 18, 2024 05:15 IST"
"For institutions, interoperability will create a unified data-sharing environment, enabling them to access customer financial data from various sources without…","September 18, 2024 02:45 IST"
Banks may see this as a low-risk opportunity to support a client while simultaneously capitalising on the immediate demand and…,"September 17, 2024 02:00 IST"
"The bank plans to provide skill training for nearly 200,000 individuals to equip them with capabilities that drive self-sufficiency.","September 16, 2024 19:07 IST"
"HDFC Bank will announce its second quarter results for FY25 on October 19, it said in a regulatory filing. It…","September 16, 2024 13:46 IST"
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,No date
No headline,5 months ago
No headline,5 months ago
No headline,5 months ago
"Among lenders, SBI has raised Rs 20,000 crore in two tranches, while Bank of Baroda and Canara Bank have mopped…","September 16, 2024 03:00 IST"
"Banks will be closed in the states of Gujarat, Mizoram, Karnataka, Tamil Nadu, Uttarakhand, Andhra Pradesh, Telangana, Manipur, Jammu, Kerala,…","Updated: September 16, 2024 08:25 IST"
"Due to this stand-off, sources said, the board members of State Bank of India (SBI) are yet to take up…","September 13, 2024 06:00 IST"
NaBFID is a development finance institution that was set up in 2021 to focus on infrastructure funding.,"September 13, 2024 03:15 IST"
