Headline,Date
CNG sedans gain popularity in India as consumers shift to cleaner fuels,Updated On :17 Nov 2024 | 10:48 PMISTPremium
"BMW, MINI record 10% sales growth at 10,556 units during Jan-Sep period",Updated On :04 Oct 2024 | 3:56 PMIST
"JSW MG Motor, Vision Mechatronics join hands to redefine EV batteries",Updated On :04 Oct 2024 | 1:10 PMIST
"Automobiles, auto component companies score low on PLI scheme in FY24",Updated On :03 Oct 2024 | 11:22 PMISTPremium
Auto industry has to be 'well balanced' on EV investments: Kia India CEO,Updated On :03 Oct 2024 | 10:18 PMIST
EU members to vote on proposal to impose tariffs on China made EVs,Updated On :03 Oct 2024 | 7:10 PMIST
"Tesla to recall over 27,000 cybertrucks in US over rear-view image delay",Updated On :03 Oct 2024 | 4:22 PMIST
Mahindra Thar ROXX sets record with 1.76 lakh bookings in just 60 minutes,Updated On :03 Oct 2024 | 3:36 PMIST
"Outgoing Daimler Truck CEO Daum expects no recovery in China, Germany",Updated On :02 Oct 2024 | 9:57 PMIST
Delhi CM approves incentive scheme to promote scrapping of old vehicles,Updated On :02 Oct 2024 | 8:23 PMIST
"Royal Enfield total sales increase 11% to 86,978 units in September",Updated On :02 Oct 2024 | 5:41 PMIST
Carmakers expand dealerships to boost sales: Do they have right products?,Updated On :02 Oct 2024 | 12:18 AMISTPremium
"From Maruti to Tata, auto firms prune sales to dealers over low demand",Updated On :02 Oct 2024 | 12:18 AMIST
"Ashok Leyland, travel tech firm FlixBus sign deal for inter-city mobility",Updated On :02 Oct 2024 | 12:01 AMIST
"Govt launches PM E-DRIVE subsidy scheme for EVs with Rs 10,900 cr outlay",Updated On :01 Oct 2024 | 9:52 PMIST
H D Kumaraswamy urges compliance with PM E-DRIVE and PLI guidelines,Updated On :01 Oct 2024 | 9:36 PMIST
"Hero MotoCorp sales increases by 19% to 637,050 units in September",Updated On :01 Oct 2024 | 8:17 PMIST
SUVs outpace small cars as top carmakers' Sep sales to dealers drop,Updated On :01 Oct 2024 | 7:37 PMIST
M&M leads carmakers' sales rebound ahead of festive season; Tata lags,Updated On :01 Oct 2024 | 6:02 PMIST
"TVS Motor records 20% rise in Sep sales by retailing 4,82,495 units",Updated On :01 Oct 2024 | 5:18 PMIST
Ola Electric's dominance fades as Indian e-scooter battle intensifies,Updated On :01 Oct 2024 | 5:14 PMIST
"Kia India total wholesales increase 17% in September to 23,523 units",Updated On :01 Oct 2024 | 4:02 PMIST
"Tata Motors total domestic sales decline 15% to 69,694 units in Sep",Updated On :01 Oct 2024 | 4:00 PMIST
"Ford plans to make EVs at TN plant, seeking re-entry into Indian market",Updated On :01 Oct 2024 | 2:16 PMIST
"Why automotive manufacturing firm Stellantis, owner of Jeep, is struggling",Updated On :01 Oct 2024 | 12:05 AMIST
Bajaj Auto leads EV sales in Sep; Ola remains biggest player in e2W space,Updated On :30 Sep 2024 | 11:54 PMISTPremium
Hybrid car sales soar as global policies boost electric vehicle market,Updated On :30 Sep 2024 | 11:13 AMIST
Rolls-Royce launches Cullinan Series II starting from Rs 10.5 crore,Updated On :27 Sep 2024 | 10:37 PMIST
NGT seeks Centre's response: Star rating system for vehicles gets push,Updated On :26 Sep 2024 | 11:54 PMISTPremium
JLR plugs $669 mn into retooling UK plant for production of electric SUVs,Updated On :26 Sep 2024 | 7:59 AMIST
"Karnataka plans tax waivers for hybrid vehicles, incentives for EVs",Updated On :25 Sep 2024 | 11:49 PMIST
Indian car buyers step on the gas: Pickup in CNG sales fastest in 2024,Updated On :25 Sep 2024 | 11:39 PMIST
Mahindra & Mahindra and Skoda Volkswagen to sign joint venture soon,Updated On :25 Sep 2024 | 10:54 AMIST
Tata Nexon iCNG: Powerful 98 bhp CNG SUV launched at Rs 8.99 lakh onwards,Updated On :24 Sep 2024 | 2:14 PMIST
MyTVS forays into EV mobility service market to tap quick-commerce growth,Updated On :23 Sep 2024 | 10:36 PMIST
"Delhi to organise 'e-vehicle parade' in October to boost usage, sales",Updated On :23 Sep 2024 | 7:57 PMIST
Acceptability of new energy vehicles set to soar by end of decade: Survey,Updated On :23 Sep 2024 | 2:12 PMIST
Mercedes-Benz to accelerate autonomous driving on German motorways,Updated On :23 Sep 2024 | 1:16 PMIST
"Luxury carmakers Mercedes, Audi, BMW expect robust sales in festive season",Updated On :22 Sep 2024 | 5:36 PMIST
Need to have common platform for ease of EV charging: Mercedes-Benz,Updated On :22 Sep 2024 | 12:01 PMIST
"VinFast's loss widens in Q2 on impairment charge, higher sales cost",Updated On :20 Sep 2024 | 6:19 PMIST
Mobility sect in Asian mkt to absorb $1.3 trn in green fund by 2030: Report,Updated On :20 Sep 2024 | 1:42 PMIST
Govt issues revised guidelines for electric vehicle charging stations,Updated On :20 Sep 2024 | 12:00 AMIST
"Auto parts-making plant for BMW to come up in Punjab, CM to lay foundation",Updated On :19 Sep 2024 | 6:10 PMIST
Plan to launch six products under alliance with Nissan on track: Renault,Updated On :18 Sep 2024 | 9:01 PMIST
From Tata Motors-JLR to Ford: Tamil Nadu's EV ecosystem expands in 2024,Updated On :18 Sep 2024 | 12:39 AMIST
"Tata Motors taps used car market to boost electric vehicle resale, exchange",Updated On :18 Sep 2024 | 12:35 AMIST
"Bajaj to TVS, legacy ICE players assert dominance in EV two-wheeler segment",Updated On :18 Sep 2024 | 12:07 AMIST
Export of electric two-wheelers from India has lot of potential: Gadkari,Updated On :17 Sep 2024 | 11:49 PMIST
"Tata Motors, JLR to make EVs in India for the world: Chandrasekaran",Updated On :17 Sep 2024 | 3:28 PMIST
India becomes top source of vehicle imports for South Africa's auto sector,Updated On :17 Sep 2024 | 7:36 AMIST
Honda Motorcycle recalls 300-350 cc bikes to replace faulty parts,Updated On :16 Sep 2024 | 11:40 PMIST
"JSW MG Motor ranks highest in dealer satisfaction, says Fada survey",Updated On :16 Sep 2024 | 11:33 PMIST
"JSW MG to launch 4 luxury cars in 2 years, to be sold through new channel",Updated On :16 Sep 2024 | 11:31 PMIST
"Mercedes-Benz to manufacture EQS SUV 580 in India, first outside the US",Updated On :16 Sep 2024 | 6:36 PMIST
"Statsguru: New schemes to boost EV adoption, align with climate goals",Updated On :16 Sep 2024 | 1:29 PMISTPremium
"JSW MG Motor to foray into accessible luxury segment, sets up new channel",Updated On :16 Sep 2024 | 11:19 AMIST
Back in the driver's seat: Ford India's timeline and Chennai plant revival,Updated On :16 Sep 2024 | 11:06 AMIST
Service outlets not stressed; utilisation full in big cities: Gollagunta,Updated On :15 Sep 2024 | 11:54 PMISTPremium
"Micro SUVs gain ground in India, with sales soaring 72% in early FY24",Updated On :14 Sep 2024 | 10:38 AMIST
"E-bus drive set for boost, but delay in tendering poses challenge",Updated On :14 Sep 2024 | 12:11 AMISTPremium
"PV sales dip 1.8%, two-wheeler sales grow 9.3% in August: Siam data",Updated On :14 Sep 2024 | 12:00 AMIST
Passenger vehicle wholesales dip 2% in August as OEMs cut dispatches,Updated On :13 Sep 2024 | 2:49 PMIST
Preparing to utilise Chennai manufacturing plant for exports: Ford,Updated On :13 Sep 2024 | 1:01 PMIST
"Maruti to M&M, carmakers in the fast lane to roll out festival discounts",Updated On :13 Sep 2024 | 12:17 AMIST
"2-wheeler EV buyers can avail subsidy of Rs 10,000 in 1st yr of PM E-DRIVE",Updated On :12 Sep 2024 | 11:10 PMIST
"Maruti Suzuki Swift CNG launched in India, Check features, engine, and more",Updated On :12 Sep 2024 | 5:55 PMIST
Auto dealers can claim ITC on demo cars used for promoting sales: CBIC,Updated On :12 Sep 2024 | 5:50 PMIST
"PM E-DRIVE scheme to aid faster adoption of EVs in India: M&M, Tata Motors",Updated On :12 Sep 2024 | 5:41 PMIST
"Tata Motors, MG offer free charging, battery rentals to lure EV buyers",Updated On :12 Sep 2024 | 2:27 PMIST
Maruti Suzuki targets to sell 600K CNG vehicles this fiscal: Official,Updated On :12 Sep 2024 | 1:33 PMIST
"Auto sector needs to focus on customer service, quality assurance: Gadkari",Updated On :11 Sep 2024 | 11:17 PMIST
EV promotion schemes great for making green transportation accessible: Siam,Updated On :11 Sep 2024 | 11:15 PMIST
Fada seeks legislative safeguards to prevent OEMs exiting abruptly,Updated On :11 Sep 2024 | 11:14 PMIST
"Tamil Nadu, Ford Motor in talks to restart production eyeing global market",Updated On :11 Sep 2024 | 11:10 PMIST
Beyond the road: The rising cybersecurity challenge for electric vehicles,Updated On :11 Sep 2024 | 11:09 PMISTPremium
Delhi govt plans proposal for transitioning Gramin Seva autos to EVs,Updated On :11 Sep 2024 | 10:37 PMIST
"BMW brake recall, VW job threat deepen German automobile industry crisis",Updated On :10 Sep 2024 | 11:34 PMIST
Govt prioritising charging infra for e-mobility growth: HD Kumaraswamy,Updated On :10 Sep 2024 | 11:19 PMIST
Auto makers must invest in R&D to make world-class industry: CEA Nageswaran,Updated On :10 Sep 2024 | 9:50 PMIST
Honda Motorcycle and Scooter to launch its first EV by March: Yogesh Mathur,Updated On :10 Sep 2024 | 9:48 PMIST
"Govt studies linking vehicle scrapping policy to pollution levels, not age",Updated On :10 Sep 2024 | 9:46 PMIST
Tata Motors managing director Shailesh Chandra elected Siam president,Updated On :10 Sep 2024 | 8:57 PMIST
HMSI to enter EV space in FY25; eyes 33% sales from segment by 2030,Updated On :10 Sep 2024 | 7:36 PMIST
Received proposals worth Rs 75k cr under auto PLI scheme: Kumaraswamy,Updated On :10 Sep 2024 | 7:35 PMIST
Siam appoints Tata Motors MD Shailesh Chandra as its new president,Updated On :10 Sep 2024 | 7:19 PMIST
"Scrappage policy to be based on pollution level, not age of vehicle: Govt",Updated On :10 Sep 2024 | 6:24 PMIST
Indian EV market potential likely to touch Rs 20 trillion by 2030: Gadkari,Updated On :10 Sep 2024 | 5:48 PMIST
Chinese EV maker BYD aims to sell 4 mn vehicles this year: Report,Updated On :10 Sep 2024 | 5:05 PMIST
VW's Skoda sees opportunity to launch hybrid cars in India to cut emissions,Updated On :10 Sep 2024 | 3:34 PMIST
Some moderation in PV sales growth 'very natural': Hyundai India COO Garg,Updated On :09 Sep 2024 | 11:08 PMIST
"I am not against incentives on EVs, but its not my call: Nitin Gadkari",Updated On :09 Sep 2024 | 10:58 PMIST
Goyal urges auto component makers to explore investment from EFTA countries,Updated On :09 Sep 2024 | 9:58 PMIST
"With 45% growth, momentum expected to continue even in 2025: Toyota",Updated On :09 Sep 2024 | 7:59 PMIST
Mahindra & Mahindra unveils commercial electric four-wheeler 'e-ZEO',Updated On :09 Sep 2024 | 3:21 PMIST
"Despite rise in exports, Chinese car sales fall for fifth straight month",Updated On :09 Sep 2024 | 2:51 PMIST
Hyundai launches new Alcazar; SUVs now account for 67% of its overall sales,Updated On :09 Sep 2024 | 2:42 PMIST
Auto industry hits Rs 20 trn in FY24; contributes 14-15% to total GST: Siam,Updated On :09 Sep 2024 | 12:00 PMIST
"Hyundai Alcazar facelift launched today: Key design, price, features info",Updated On :09 Sep 2024 | 10:46 AMIST
Decline in rural auto sales prompts banks to offer festive season deals,Updated On :09 Sep 2024 | 10:24 AMIST
Fada to approach lenders requesting caution while funding dealers,Updated On :08 Sep 2024 | 11:10 PMIST
Losing spark: Delhi's electric vehicle adoption to hit speed bump,Updated On :08 Sep 2024 | 10:25 PMISTPremium
Low discount may not drive polluting old vehicles towards scrapping shops,Updated On :06 Sep 2024 | 11:50 PMISTPremium
GTRI flags concern against India of becoming 'EV colony' for China,Updated On :06 Sep 2024 | 11:23 PMIST
"Reliance Infra plans to manufacture electric cars, taps ex-BYD executive",Updated On :06 Sep 2024 | 11:20 PMIST
"Luxury car buyers in India speed up shift to EVs, outpacing mass market",Updated On :06 Sep 2024 | 9:45 AMIST
"August PV sales down 4.5% due to rains, 'alarming' leftover inventory",Updated On :05 Sep 2024 | 11:19 PMIST
Why public EV chargers are almost never working as fast as promised,Updated On :05 Sep 2024 | 6:25 PMIST
"With low sales, auto dealers worry about offering further discounts",Updated On :05 Sep 2024 | 5:19 PMIST
Substantial subsidies for electric vehicles are no longer required: Gadkari,Updated On :05 Sep 2024 | 4:04 PMIST
PV retails dip 5% in August; Fada raises alarm over rising inventory level,Updated On :05 Sep 2024 | 10:31 AMIST
Swedish automaker Volvo Cars abandons target of going all electric by 2030,Updated On :04 Sep 2024 | 10:40 PMIST
FAME-III will be rolled out in next two months: Union minister Kumaraswamy,Updated On :04 Sep 2024 | 8:29 PMIST
EV maker Kinetic Green to launch family e-scooter in about 18 months,Updated On :04 Sep 2024 | 7:29 PMIST
The road ahead: Steel recycle mandate for automakers on the anvil,Updated On :03 Sep 2024 | 11:40 PMISTPremium
"Toyota, Maruti launch hybrid push in UP to capitalise on tax waivers",Updated On :03 Sep 2024 | 11:29 PMIST
48% tax on hybrid cars and 5% on EVs to stay for long: Amitabh Kant,Updated On :03 Sep 2024 | 11:24 PMIST
Kia tops Fada's overall customer experience index in mass-market space,Updated On :03 Sep 2024 | 11:22 PMIST
Hero MotoCorp planning to invest Rs 900 cr in 3-wheeler startup Altigreen,Updated On :03 Sep 2024 | 11:44 AMIST
"Sales of electric vehicles in August decline 13% to 156,199 units",Updated On :02 Sep 2024 | 11:32 PMIST
Commercial vehicle wholesale volume likely to grow up to 3% in FY25: ICRA,Updated On :02 Sep 2024 | 8:38 PMIST
Tata Motors launches new Curvv SUV Coupe; priced at Rs 9.99 lakh,Updated On :02 Sep 2024 | 6:09 PMIST
Maruti Suzuki cuts price of select Alto K10 & S-Presso modes; details,Updated On :02 Sep 2024 | 12:43 PMIST
Automotive players gear up for festive season with dealership expansion,Updated On :01 Sep 2024 | 10:25 PMIST
"Bumpy ride: High stock, low demand drive domestic car sales down 2-3%",Updated On :01 Sep 2024 | 10:23 PMIST
"Maruti Suzuki total sales dip 4% year-on-year to 181,782 units in August",Updated On :01 Sep 2024 | 1:13 PMIST
Bajaj Auto looks to pip TVS to second spot in electric 2-wheeler market,Updated On :30 Aug 2024 | 11:30 PMISTPremium
Italian carmaker Maserati banking on entrepreneurs to drive India story,Updated On :30 Aug 2024 | 10:12 PMIST
Entry-level bike sales in slow lane despite rural demand turnaround,Updated On :30 Aug 2024 | 10:10 PMISTPremium
"Mahindra, Volkswagen near joint venture agreement for electric SUVs: Report",Updated On :30 Aug 2024 | 6:14 PMIST
Honda Shine revs past Bajaj Pulsar as second best-selling motorcycle,Updated On :29 Aug 2024 | 11:32 PMISTPremium
BS@50: Climate change of another kind in India Inc's 50-year journey,Updated On :29 Aug 2024 | 6:18 AMISTPremium
Auto majors to offer discount on new vehicles against scrappage certificate,Updated On :27 Aug 2024 | 11:52 PMIST
Will have 10 days' dealer stock by year-end: Maruti Chairman R C Bhargava,Updated On :27 Aug 2024 | 11:17 PMIST
Japanese Pioneer plans to scale up biz with Indian automakers for future,Updated On :27 Aug 2024 | 11:12 PMIST
EKA Mobility enters into strategic pact with IKEA for EV vans supply,Updated On :27 Aug 2024 | 7:59 PMIST
China accuses Canada of protectionism over 100% tariffs on Chinese-made EVs,Updated On :27 Aug 2024 | 4:49 PMIST
Stable govt gives confidence of sustained growth: Maruti Chief Bhargava,Updated On :27 Aug 2024 | 12:01 PMIST
IRF urges govt to form strict rules to reduce pollution from HCVs,Updated On :26 Aug 2024 | 11:03 PMIST
"Canada to impose 100% tariff on Chinese EVs, says PM Justin Trudeau",Updated On :26 Aug 2024 | 7:32 PMIST
Rural two-wheeler sales race past urban markets in a first since Covid,Updated On :25 Aug 2024 | 11:34 PMISTPremium
UP govt offers 200 acres in Greater Noida to Ducati for racetrack,Updated On :24 Aug 2024 | 12:38 AMISTPremium
"RBI includes auto replenishment of FASTag, NCMC in e-mandate framework",Updated On :22 Aug 2024 | 9:35 PMIST
US auto safety regulator gives clean chit to GM in Cruise robotaxis case,Updated On :22 Aug 2024 | 7:00 PMIST
Tata Motors' Punch beats Maruti Suzuki WagonR as India's top-selling car,Updated On :22 Aug 2024 | 11:30 AMIST
"Ford to shift EV strategy by building new lower-cost pickup, commercial van",Updated On :21 Aug 2024 | 9:44 PMIST
"Passenger vehicle dealers struggle with inventory worth Rs 73,000 cr: Fada",Updated On :21 Aug 2024 | 4:59 PMIST
"Tata Motors teams with Delta, Thunderplus to grow India's EV charging grid",Updated On :21 Aug 2024 | 3:35 PMIST
"EMPS progress: Achieves 60% of revised target, supporting 334,260 vehicles",Updated On :20 Aug 2024 | 11:59 PMISTPremium
EU cuts planned import tariff on Tesla's China-made electric vehicles to 9%,Updated On :20 Aug 2024 | 11:20 PMIST
"BMW recalling around 720,000 vehicles due to issue with water pump",Updated On :20 Aug 2024 | 7:25 PMIST
"What's a CUTE fee, asks IndiGo passenger; check breakdown of flight ticket",Updated On :20 Aug 2024 | 11:01 AMIST
"Auto companies Tata Motors, Ashok Leyland board the fully built bus boom",Updated On :19 Aug 2024 | 11:13 PMISTPremium
"General Motors to lay off more than 1,000 software engineers, mostly in US",Updated On :19 Aug 2024 | 9:58 PMIST
Waning demand expected to hit breakneck rally in India's auto stocks,Updated On :19 Aug 2024 | 8:53 AMIST
Luxury car brands expand footprint as demand from Tier II-III cities rise,Updated On :18 Aug 2024 | 10:45 PMIST
"Confident of outperforming industry in domestic, global markets: TVS Motor",Updated On :18 Aug 2024 | 11:27 AMIST
"Luxury car sales soar in India: Lamborghini, Ferrari set new records",Updated On :17 Aug 2024 | 2:12 PMIST
"M&HCV sales likely to surpass pre-Covid-19 peak of 419,000 units in FY25",Updated On :16 Aug 2024 | 11:57 PMIST
"Ford Motor to recall about 85,000 vehicles due to risk of engine fire",Updated On :16 Aug 2024 | 4:01 PMIST
Govt to impose stricter rules on electric construction vehicles from Oct 1,Updated On :16 Aug 2024 | 2:55 PMIST
Stringent safety norms for construction electric vehicles from October 1,Updated On :15 Aug 2024 | 10:14 PMIST
"M&M launches Thar Roxx, targets to rule above Rs 12.5 lakh category",Updated On :15 Aug 2024 | 7:04 PMIST
Electric mobility right step in right direction for country: M&M CEO,Updated On :15 Aug 2024 | 6:31 PMIST
"Ola Electric rolls out 'Roadster' E-bikes, prices start from Rs 74,999",Updated On :15 Aug 2024 | 3:26 PMIST
Passenger vehicle wholesales fall 2.5% in July as retail inventory piles up,Updated On :14 Aug 2024 | 11:13 PMIST
Xtreme 125R's production capacity to be increased by 60%: Hero Moto CEO,Updated On :14 Aug 2024 | 2:37 PMIST
Maruti Suzuki receives Rs 3.81 crore show cause notice from customs office,Updated On :14 Aug 2024 | 1:18 PMIST
"EV maker Euler Motors unveils Rs 100 cr mfg, R&D facility in Haryana",Updated On :13 Aug 2024 | 7:36 PMIST
Festivals hold promise but passenger vehicle sales may stay flat in FY25,Updated On :13 Aug 2024 | 12:28 AMISTPremium
"Uttar Pradesh backs hybrid tax waiver; win for Toyota, blow for Tata, M&M",Updated On :12 Aug 2024 | 3:41 PMIST
"From Tata Motor to Royal Enfield, automakers hit the gas on launches",Updated On :12 Aug 2024 | 12:01 AMIST
"Hero Electric resumes production, seeks up to Rs 200 crore to rev up output",Updated On :11 Aug 2024 | 10:43 PMISTPremium
Registration tax waiver on hybrid cars to remain: UP govt to auto companies,Updated On :11 Aug 2024 | 10:30 PMIST
Global demand muted; gradual improvement expected in domestic market: TaMo,Updated On :11 Aug 2024 | 1:34 PMIST
Bangladesh crisis likely to be a speed bump for Indian 2W companies,Updated On :08 Aug 2024 | 10:38 PMIST
"Mercedes-Benz confident of double-digit growth, rolls out 2 new models",Updated On :08 Aug 2024 | 5:23 PMIST
How 2W market incumbents Bajaj and TVS are flexing their electric muscle,Updated On :08 Aug 2024 | 3:00 PMISTPremium
"MG Motor plans to build manufacturing plant, R&D centre in Mexico",Updated On :08 Aug 2024 | 12:07 PMIST
Epsilon Advanced Materials seeks US trade pact for EV battery compliance,Updated On :07 Aug 2024 | 11:20 PMISTPremium
Siam to address soaring inventory concerns in executive committee meeting,Updated On :07 Aug 2024 | 8:36 PMIST
"EVs, hybrid vehicles set to exceed China's 50% car sales for first time",Updated On :07 Aug 2024 | 6:04 PMIST
"Demand for new vehicles up, as used car market see drop in prices: Report",Updated On :07 Aug 2024 | 5:16 PMIST
Tesla recalls 1.68 mn EVs in China to repair faulty latches free-of-cost,Updated On :07 Aug 2024 | 11:31 AMIST
Uptick in rural demand to propel two-wheeler industry: TVS Motor chairman,Updated On :06 Aug 2024 | 7:36 PMIST
"EV sales rose 55.2% to 179,000 units in July led by two-wheelers : FADA",Updated On :06 Aug 2024 | 6:35 PMIST
Shifting gear: PV inventory surges even as auto retail sales rise,Updated On :05 Aug 2024 | 11:21 PMIST
In a first: CNG passenger vehicles ride past diesel in sales race,Updated On :04 Aug 2024 | 11:47 PMISTPremium
"Awaiting policy on hybrids, green tech: Maruti Chairman R C Bhargava",Updated On :04 Aug 2024 | 10:13 PMIST
"As EV subsidies transition from FAME to EMPS, how is the industry coping?",Updated On :04 Aug 2024 | 10:06 PMISTPremium
Speed bump: Domestic passenger vehicle sales slip amid inventory pile-up,Updated On :04 Aug 2024 | 1:13 PMIST
JLR unlikely to leverage EV policy for now: Tata Motors on new EV policy,Updated On :02 Aug 2024 | 11:05 PMIST
